1484621068.14M3 2254.0 - M1 2226.0 = 28.0, speed 255, M3 set at 252.137014315
1484621068.65M1 2374.0 - M3 2350.0 = 24.0, speed 255, M1 set at 252.478991597
1484621069.15M3 2350.0 - M1 2348.0 = 2.0, speed 255, M3 set at 254.795501022
1484621069.66M3 2368.0 - M1 2346.0 = 22.0, speed 255, M3 set at 252.750511247
1484621070.17M3 2356.0 - M1 2346.0 = 10.0, speed 255, M3 set at 253.977505112
1484621070.67M3 2362.0 - M1 2344.0 = 18.0, speed 255, M3 set at 253.159509202
1484621071.18M3 2368.0 - M1 2344.0 = 24.0, speed 255, M3 set at 252.54601227
1484621071.68M3 2358.0 - M1 2340.0 = 18.0, speed 255, M3 set at 253.159509202
1484621072.19M3 2368.0 - M1 2346.0 = 22.0, speed 255, M3 set at 252.750511247
1484621072.7M3 2354.0 - M1 2338.0 = 16.0, speed 255, M3 set at 253.36400818
1484621073.2M3 2368.0 - M1 2348.0 = 20.0, speed 255, M3 set at 252.955010225
1484621895.48M1 2068.0 - M3 2052.0 = 16.0, speed 255, M1 set at 253.319327731
1484621895.99M1 2240.0 - M3 2218.0 = 22.0, speed 255, M1 set at 252.68907563
1484621896.49M1 2264.0 - M3 2254.0 = 10.0, speed 255, M1 set at 253.949579832
1484621897.0M1 2232.0 - M3 2204.0 = 28.0, speed 255, M1 set at 252.058823529
1484621897.51M1 2244.0 - M3 2206.0 = 38.0, speed 255, M1 set at 251.008403361
1484621898.02M1 2248.0 - M3 2238.0 = 10.0, speed 255, M1 set at 253.949579832
1484621898.53M1 2266.0 - M3 2238.0 = 28.0, speed 255, M1 set at 252.058823529
1484621899.04M1 2264.0 - M3 2234.0 = 30.0, speed 255, M1 set at 251.848739496
1484621899.55M1 2244.0 - M3 2226.0 = 18.0, speed 255, M1 set at 253.109243697
1484621900.05M1 2266.0 - M3 2226.0 = 40.0, speed 255, M1 set at 250.798319328
1484621900.56M1 2212.0 - M3 2200.0 = 12.0, speed 255, M1 set at 253.739495798
1484622061.33M1 2032.0 - M3 1994.0 = 38.0, speed 255, M1 set at 251.008403361
1484622061.84M3 2238.0 - M1 2228.0 = 10.0, speed 255, M3 set at 253.977505112
1484622062.35M1 2216.0 - M3 2212.0 = 4.0, speed 255, M1 set at 254.579831933
1484622062.85M1 2260.0 - M3 2222.0 = 38.0, speed 255, M1 set at 251.008403361
1484622063.36M1 2144.0 - M3 2076.0 = 68.0, speed 255, M1 set at 247.857142857
1484622063.87M1 2108.0 - M3 2098.0 = 10.0, speed 255, M1 set at 253.949579832
1484622064.38M1 2202.0 - M3 2154.0 = 48.0, speed 255, M1 set at 249.957983193
1484622064.88M1 2104.0 - M3 2044.0 = 60.0, speed 255, M1 set at 248.697478992
1484622406.58M3 1016.0 - M1 774.0 = 242.0, speed 255, M3 set at 230.255623722
1484622407.09M3 1098.0 - M1 874.0 = 224.0, speed 255, M3 set at 232.096114519
1484622475.17M1 2034.0 - M3 2020.0 = 14.0, speed 255, M1 set at 253.529411765
1484622770.19M1 2032.0 - M3 2010.0 = 22.0, speed 255, M1 set at 252.68907563
1484622770.69M3 2360.0 - M1 2320.0 = 40.0, speed 255, M3 set at 250.91002045
1484622771.2M1 2320.0 - M3 2276.0 = 44.0, speed 255, M1 set at 250.378151261
1484622771.71M1 2146.0 - M3 2128.0 = 18.0, speed 255, M1 set at 253.109243697
1484622772.21M1 2218.0 - M3 2188.0 = 30.0, speed 255, M1 set at 251.848739496
1484622772.72M1 2230.0 - M3 2226.0 = 4.0, speed 255, M1 set at 254.579831933
1484622773.23M1 2258.0 - M3 2228.0 = 30.0, speed 255, M1 set at 251.848739496
1484622797.17M1 2042.0 - M3 2028.0 = 14.0, speed 255, M1 set at 253.529411765
1484622797.68M3 2320.0 - M1 2294.0 = 26.0, speed 255, M3 set at 252.341513292
1484622798.18M3 2322.0 - M1 2310.0 = 12.0, speed 255, M3 set at 253.773006135
1484622986.47M1 2102.0 - M3 2042.0 = 60.0, speed 255, M1 set at 248.697478992
1484622986.98M3 2260.0 - M1 2254.0 = 6.0, speed 255, M3 set at 254.386503067
1484622987.49M1 2248.0 - M3 2220.0 = 28.0, speed 255, M1 set at 252.058823529
1484622987.99M1 2298.0 - M3 2272.0 = 26.0, speed 255, M1 set at 252.268907563
1484622988.5M1 2250.0 - M3 2230.0 = 20.0, speed 255, M1 set at 252.899159664
1484622989.01M1 2222.0 - M3 2202.0 = 20.0, speed 255, M1 set at 252.899159664
1484622989.51M1 2296.0 - M3 2294.0 = 2.0, speed 255, M1 set at 254.789915966
1484622990.53M3 2336.0 - M1 2324.0 = 12.0, speed 255, M3 set at 253.773006135
1484622991.04M3 2330.0 - M1 2326.0 = 4.0, speed 255, M3 set at 254.591002045
1484622992.05M3 2326.0 - M1 2312.0 = 14.0, speed 255, M3 set at 253.568507157
1484622992.56M3 2338.0 - M1 2316.0 = 22.0, speed 255, M3 set at 252.750511247
1484622993.07M3 2320.0 - M1 2312.0 = 8.0, speed 255, M3 set at 254.18200409
1484623035.89M1 2064.0 - M3 2060.0 = 4.0, speed 255, M1 set at 254.579831933
1484623036.4M3 2324.0 - M1 2320.0 = 4.0, speed 255, M3 set at 254.591002045
1484623036.9M1 2328.0 - M3 2324.0 = 4.0, speed 255, M1 set at 254.579831933
1484623037.41M1 4670.0 - M3 2344.0 = 2326.0, speed 255, M1 set at 10.6722689076
