1804 - 2264 = -461, speed 195, FL at 255
2899 - 2264 = 634, speed 195, FR at 105
2749 - 2264 = 485, speed 195, RR at 126
1607 - 2264 = -658, speed 195, RL at 255
1900 - 2184 = -285, speed 205, FL at 246
2591 - 2184 = 406, speed 205, FR at 147
2519 - 2184 = 334, speed 205, RR at 158
1731 - 2184 = -453, speed 205, RL at 255
2198 - 2022 = 176, speed 215, RR at 190
1826 - 2022 = -197, speed 215, RL at 244
2277 - 2108 = 169, speed 225, RR at 201
1915 - 2108 = -193, speed 225, RL at 253
2326 - 2183 = 143, speed 235, RR at 215
2003 - 2183 = -180, speed 235, RL at 255
2368 - 2249 = 119, speed 245, RR at 228
2084 - 2249 = -165, speed 245, RL at 255
2176 - 2325 = -149, speed 255, RL at 255
1813 - 2272 = -459, speed 195, FL at 255
2892 - 2272 = 620, speed 195, FR at 107
2765 - 2272 = 493, speed 195, RR at 125
1620 - 2272 = -652, speed 195, RL at 255
1903 - 2121 = -218, speed 205, FL at 237
2432 - 2121 = 311, speed 205, FR at 161
2414 - 2121 = 293, speed 205, RR at 164
1738 - 2121 = -383, speed 205, RL at 255
2191 - 2028 = 163, speed 215, RR at 192
1830 - 2028 = -198, speed 215, RL at 244
2272 - 2112 = 160, speed 225, RR at 203
1919 - 2112 = -193, speed 225, RL at 253
2329 - 2186 = 143, speed 235, RR at 215
2004 - 2186 = -182, speed 235, RL at 255
2443 - 2321 = 122, speed 245, FR at 228
2490 - 2321 = 169, speed 245, RR at 221
2091 - 2321 = -230, speed 245, RL at 255
2348 - 2455 = -107, speed 255, FL at 255
2625 - 2455 = 170, speed 255, FR at 231
2666 - 2455 = 211, speed 255, RR at 225
2182 - 2455 = -273, speed 255, RL at 255
